,name,address,location,built_date,price_min,price_max,plan_min,plan_max,area_min,are_max
0,パークシティ武蔵小山　ザ　タワー　,品川区小山３,東急目黒線/武蔵小山 徒歩1分,2020年4月,6750万円,2億6390万円,1LDK,3LDK,47.08,122.11
1,ザ・パークハウス オイコス 赤羽志茂,北区志茂３,東京メトロ南北線/志茂 徒歩6分,2019年3月,3900万円台,7500万円台,3LDK,4LDK,65.26,84.52
2,BrilliaCity 三鷹,練馬区関町南４,ＪＲ中央線/三鷹 バス10分 停歩2分,2019年11月,3900万円台,5400万円台,3LDK,3LDK,70.98,77.24
3,アトラス品川中延,品川区中延２,東急池上線/荏原中延 徒歩4分,2019年4月,4568万円,1億588万円,1LDK,4LDK,40.75,87.05
4,ラコント早稲田,新宿区早稲田鶴巻町512-8、9、10,東京メトロ東西線/早稲田 徒歩2分,2018年7月,3400万円台,8200万円台,1LDK,2LDK,30.09,60.88
5,アトラス中野南台,中野区南台３,東京メトロ丸ノ内線/中野富士見町 徒歩12分,2018年12月,3198万円,7298万円,1K,3LDK,32.49,73.73
6,リビオレゾン渋谷笹塚,渋谷区幡ヶ谷３,京王線/笹塚 徒歩10分,2018年9月,3500万円台,6100万円台,1LDK,1LDK,35.44,62.69
7,リビオレゾン東陽町ステーションプレミア,江東区東陽２,東京メトロ東西線/東陽町 徒歩3分,2019年3月,4990万円,6790万円,2LDK,2LDK,54.06,67.61
8,ピアース馬込,大田区中馬込２,都営浅草線/馬込 徒歩6分,2018年8月,2500万円台,4200万円台,1K,1LDK,25.04,41.7
9,ピアース南麻布,港区南麻布２,東京メトロ南北線/白金高輪 徒歩5分,2018年11月,3100万円台,7800万円台,1K,2LDK,22.33,57.29
10,ウエリス仙川調布の森,調布市入間町２,小田急線/成城学園前 バス5分 停歩4分,2019年2月,3600万円台,6400万円台,3LDK,3LDK,70.61,100.4
11,リビオ神楽坂,新宿区北山伏町,都営大江戸線/牛込柳町 徒歩5分,2019年2月,2800万円台,8900万円台,1K,3LDK,25,70.05
12,パークタワー晴海,中央区晴海２,東京メトロ有楽町線/月島 徒歩12分,2019年9月,4300万円台,1億7900万円台,1LDK,4LDK,42.53,121.16
13,パークホームズ吉祥寺北グランヴィラ,練馬区関町南３,ＪＲ中央線/吉祥寺 バス9分 停歩2分,2018年4月,4758万円,8798万円,2LDK,2LDK,60.62,92.6
14,パークホームズ田無 ザ ガーデン,西東京市田無町４,西武新宿線/田無 徒歩8分,2019年3月,3500万円台,6000万円台,2LDK,4LDK,55.83,78.17
15,ザ ブルームテラス,町田市小川字十号1564番2外,東急田園都市線/すずかけ台 徒歩10分,即入居可,3648万円,4158万円,3LDK,3LDK,73.2,75.64
16,ザ・パークハウス 花小金井ガーデン,小平市鈴木町２,ＪＲ中央線/武蔵小金井 バス7分 停歩4分,即入居可,3900万円台,5100万円台,2LDK,2LDK,62.26,80.09
17,グランドメゾン品川シーサイドの杜,品川区東品川４,りんかい線/品川シーサイド 徒歩3分,2020年1月,5350万円,8060万円,2LDK,3LDK,62.33,72.84
18,プラウドシティ越中島,江東区越中島２,東京メトロ東西線/門前仲町 徒歩11分,2019年3月,5679万円,8599万円,2LDK,4LDK,64.37,83.37
19,プラウド東陽町サウス,江東区東陽２,東京メトロ東西線/東陽町 徒歩4分,2018年6月,6389万円,7409万円,2LDK,2LDK,70.72,70.72
20,ザ・マジェスティコート 目黒,目黒区下目黒２,ＪＲ山手線/目黒 徒歩8分,2018年11月,3160万円,5790万円,1R,1R,27.79,48.54
21,パークホームズ文京小日向　ザ レジデンス,文京区小日向２,東京メトロ丸ノ内線/茗荷谷 徒歩7分,2018年3月,8230万円,1億2300万円,3LDK,3LDK,74.28,92.81
22,グランドメゾン江古田の杜,中野区江古田３,都営大江戸線/新江古田 徒歩10分,2018年3月,4960万円,6950万円,2LDK,3LDK,58.1,84.63
23,プラウド西葛西,江戸川区西葛西４,東京メトロ東西線/西葛西 徒歩8分,2019年3月,5199万円,1億89万円,2LDK+S,4LDK,70.56,100.09
24,蘆花公園 ザ・レジデンス,世田谷区粕谷２,京王線/芦花公園 徒歩6分,2018年3月,6598万円,7598万円,3LDK,3LDK,70.95,80.34
25,ルフォン久米川 武蔵野けやきの杜,東村山市栄町３,西武新宿線/久米川 徒歩8分,2017年12月,2900万円台,5500万円台,3LDK,4LDK,68.62,85.59
26,イニシア新宿早稲田,新宿区西早稲田１,東京メトロ東西線/早稲田 徒歩5分,2017年11月下旬,3768万円,3768万円,1DK,1DK,30.74,30.74
27,ザ・パークハウス 花小金井フロント,小平市花小金井１,西武新宿線/花小金井 徒歩4分,2017年11月下旬,3800万円台,6400万円台,2LDK,4LDK,58.64,85.56
28,パークホームズ調布桜堤通り,調布市染地２,京王線/調布 バス7分 停歩1分,即入居可,4048万円,4898万円,3LDK,3LDK,73.28,88.99
29,ザ・パークハウス 国分寺四季の森,国分寺市東恋ヶ窪１,ＪＲ中央線/西国分寺 徒歩10分,2018年10月、2018年3月,4200万円台,6300万円台,3LDK,3LDK,69.67,87.57
30,BrilliaCity 石神井台,練馬区石神井台４,西武新宿線/上石神井 徒歩10分,即入居可,4400万円台,6900万円台,3LDK,4LDK,69.97,89.11
31,ザ・パークハウス 立川テラス,立川市錦町１,ＪＲ中央線/立川 徒歩9分,2018年12月,4668万円,6748万円,2LDK,2LDK,58.92,80.2
32,クレストシティ木場,江東区塩浜２,東京メトロ東西線/木場 徒歩11分,即入居可,4798万円,5788万円,3LDK,3LDK,67.41,76.59
33,パークホームズ武蔵小金井　緑町,小金井市緑町５,ＪＲ中央線/武蔵小金井 徒歩11分,2018年3月,4800万円台,5600万円台,2LDK,3LDK,60.01,73.98
34,プラウドシティ大田六郷,大田区西六郷３,京急本線/雑色 徒歩11分,即入居可,4900万円台,5100万円台,3LDK,3LDK,68.22,73.7
35,プレイスヴィラ喜多見,狛江市岩戸北２,小田急線/喜多見 徒歩7分,即入居可,5038万円,7998万円,3LDK,3LDK,70.38,95.42
36,ザ・パークハウス 国分寺緑邸,国分寺市本町４,ＪＲ中央線/国分寺 徒歩4分,即入居可,5898万円,8658万円,2LDK+S,2LDK+S,70.31,79.09
37,ザ・パークハウス アーバンス 目黒平町,目黒区平町１,東急東横線/都立大学 徒歩7分,2018年11月,5990万円,9280万円,1LDK,3LDK,53.95,70.06
38,ブランズシティ世田谷中町,世田谷区中町５,東急田園都市線/桜新町 徒歩15分,即入居可,6270万円,9280万円,3LDK,3LDK,70.58,90.68
39,パークナード経堂,世田谷区桜上水１,小田急線/経堂 徒歩10分,即入居可,6580万円,8090万円,2LDK,2LDK,56.21,72.12
40,シティハウス神宮北参道,渋谷区千駄ヶ谷４,東京メトロ副都心線/北参道 徒歩3分,即入居可,9980万円,1億3980万円,2LDK,3LDK,55.15,70.45
41,ディスカバテラス プロジェクト,東村山市富士見町１,ＪＲ中央線/立川 バス30分 停歩5分,2019年3月,1900万円台,5100万円台,3LDK,3LDK,68.64,87.61
42,パークホームズ立川錦町,立川市錦町４,ＪＲ南武線/西国立 徒歩7分,2018年7月,3480万円,7380万円,2LDK,4LDK,64.15,85.26
43,Brillia大山 Park Front,板橋区大山西町,東武東上線/大山 徒歩7分,2018年12月,4518万円,7798万円,2LDK,4LDK,56.91,83.16
44,ウエリス新宿早稲田の森,新宿区大久保３,東京メトロ副都心線/西早稲田 徒歩3分,2018年8月,4998万円,9198万円,1LDK,3LDK,44.77,81.2
45,ザ・レジデンス ひばりが丘,西東京市谷戸町２,西武池袋線/ひばりヶ丘 徒歩10分,2018年11月,3998万円,6398万円,2LDK,4LDK,58.77,85.35
46,ザ・パークハウス 町田フロント,町田市原町田５,小田急線/町田 徒歩5分,2019年2月,4378万円,4378万円,2LDK,2LDK,56.46,56.46
47,クレヴィア調布国領RESIDENCE,調布市国領町４,京王線/国領 徒歩3分,2018年3月,5398万円,6988万円,3LDK,3LDK,65.87,79.06
48,プライムパークス品川シーサイド ザ・タワー,品川区東品川４,りんかい線/品川シーサイド 徒歩3分,2019年3月,3900万円台,9700万円台,1LDK,4LDK,53.38,91.79
49,パークホームズ本郷 ザ レジデンス,文京区本郷６,都営大江戸線/春日 徒歩5分,2018年11月,5700万円台,1億8000万円台,1LDK,3LDK,43.98,100.17
50,プラウド銀座東レジデンス,中央区明石町,東京メトロ有楽町線/新富町 徒歩2分,2019年3月,7100万円台,1億900万円台,2LDK,2LDK,58.05,85.61
51,BrilliaTower 代々木公園 CLASSY,渋谷区富ヶ谷１,東京メトロ千代田線/代々木公園 徒歩2分,2019年2月,価格未定,価格未定,2LDK,2LDK,58.66,85.67
52,ウエリス武蔵野富士見町,東村山市富士見町１,西武国分寺線/小川 徒歩14分,即入居可,2530万円,3940万円,3LDK,3LDK,68.6,84.74
53,ファインシティ王子神谷リバー＆フォレスト,足立区新田１,東京メトロ南北線/王子神谷 徒歩15分,即入居可,2598万円,3598万円,3LDK,3LDK,67.84,70.2
54,クリオ レジダンス八王子ザ・マークス,八王子市旭町,ＪＲ中央線/八王子 徒歩3分,2019年3月,2794万6000円,6598万円,1LDK,3LDK,32.25,82.03
55,メイツ北綾瀬　トレエッセ,足立区加平２,東京メトロ千代田線/北綾瀬 徒歩10分,即入居可,2900万円台,4500万円台,3LDK,3LDK,68.42,83.5
56,レーベン青砥LICELT,葛飾区高砂１,京成本線/青砥 徒歩9分,2018年2月,2900万円台,3900万円台,3LDK,3LDK,62.17,82.35
57,アデニウム板橋浮間公園,板橋区舟渡２,ＪＲ埼京線/浮間舟渡 徒歩8分,2017年12月、2017年11月下旬,2900万円台,4300万円台,2LDK,3LDK,54.05,67.1
58,武蔵野富士見 ザ・レジデンス,東村山市富士見町１,西武国分寺線/小川 徒歩9分,即入居可,2900万円台,4000万円台,3LDK,3LDK,65.78,73.2
59,インプレスト コア 赤羽,北区岩淵町,ＪＲ京浜東北線/赤羽 徒歩10分,2019年3月,2998万円,5058万円,1LDK,1LDK,33.02,54.84
60,ネベル巣鴨,豊島区西巣鴨４,都営三田線/西巣鴨 徒歩6分,2017年11月下旬,3300万円台,5300万円台,1LDK,1LDK,38.17,56.48
61,レーベン新小岩innovia,江戸川区本一色１,ＪＲ総武線/新小岩 徒歩17分,即入居可,3300万円台,5400万円台,3LDK,3LDK,65.88,80.94
62,ルフォン小平美園町ザ・レジデンス,小平市美園町２,西武新宿線/小平 徒歩3分,即入居可,3590万円,4190万円,3LDK,3LDK,68.32,80.38
63,アトラス白金高輪,港区三田５,東京メトロ南北線/白金高輪 徒歩6分,2018年4月,3850万円,1億7960万円,1K,3LDK,31.29,116.81
64,イニシア田端ツインマークス,北区田端新町２,ＪＲ山手線/田端 徒歩10分,2018年8月,3900万円台,5600万円台,2LDK,2LDK,64.38,64.38
65,ヴェレーナシティ 東京イーストガーデンズ,江東区東砂７,東京メトロ東西線/南砂町 徒歩12分,2018年8月,4100万円台,6400万円台,3LDK,3LDK,66.31,83.42
66,リリーゼ光が丘アベニュー,練馬区土支田２,都営大江戸線/光が丘 徒歩14分,2018年6月,4250万円,4970万円,2LDK+S,3LDK,68.17,72.97
67,ジオ多摩センター,多摩市鶴牧３,京王相模原線/京王多摩センター 徒歩12分,即入居可,4370万円,5610万円,3LDK,4LDK,76.85,95.36
68,クレヴィア御茶ノ水,文京区湯島２,東京メトロ丸ノ内線/御茶ノ水 徒歩7分,2018年3月,4440万円,9190万円,1LDK,1LDK,36.41,72.17
69,コディア八幡山,杉並区上高井戸１,京王線/八幡山 徒歩6分,即入居可,4498万円,6348万円,2LDK,2LDK,54.05,63.42
70,グランリビオ ザ・レジデンス,文京区湯島３,東京メトロ千代田線/湯島 徒歩4分,2018年4月,4590万円,6440万円,1LDK,2LDK,40.4,54.74
71,ルネ世田谷千歳台 AYUMIE,世田谷区千歳台６,京王線/千歳烏山 徒歩17分,即入居可,5098万円,5098万円,3LDK,3LDK,66.96,66.96
72,ルフォン入谷 ザ・レジデンス 上野の杜,台東区下谷３,東京メトロ日比谷線/入谷 徒歩5分,即入居可,5298万円,6648万円,2LDK,2LDK,57.59,74.17
73,ウエリス世田谷砧,世田谷区砧１,小田急線/祖師ヶ谷大蔵 徒歩15分,2018年4月、2018年2月,5300万円台,7200万円台,2LDK+S,4LDK,70.04,82.1
74,アトラス本郷三丁目,文京区本郷３,東京メトロ丸ノ内線/本郷三丁目 徒歩3分,2019年3月,5350万円,1億1980万円,1LDK,1LDK,44.65,79.38
75,グランスイート下赤塚,板橋区赤塚２,東武東上線/下赤塚 徒歩2分,2018年4月,5390万円,7880万円,2LDK+S,3LDK,67.58,87.23
76,ザ・パークハウス 杉並上井草,杉並区上井草３,ＪＲ中央線/荻窪 バス14分 停歩3分,即入居可,5698万円,8998万円,2LDK,4LDK,67.68,85.4
77,クレヴィア千鳥町,大田区千鳥３,東急池上線/千鳥町 徒歩5分,即入居可,5848万円,6858万円,3LDK,3LDK,66,75.33
78,ザ・パークハウス 渋谷笹塚,渋谷区幡ヶ谷３,京王線/笹塚 徒歩10分,2018年8月,5998万円,8498万円,2LDK,3LDK,54.86,73.62
79,プロスタイル日本橋馬喰町,中央区東日本橋３,都営新宿線/馬喰横山 徒歩1分,即入居可,5999万円,6489万円,1LDK+S,1LDK+S,60.92,68.1
80,インプレスト西馬込ヒルズ,大田区西馬込１,都営浅草線/西馬込 徒歩4分,即入居可,6390万円,6390万円,3LDK,3LDK,74.41,74.41
81,イニシアクラウド渋谷笹塚,渋谷区幡ヶ谷３,京王新線/幡ヶ谷 徒歩10分,即入居可,6498万円,6998万円,3LDK,3LDK,70.04,70.04
82,ザ・パークハウス 山吹神楽坂,新宿区山吹町,東京メトロ有楽町線/江戸川橋 徒歩4分,2018年1月,6750万円,1億430万円,2LDK,2LDK,60.3,84.6
83,グラン レ・ジェイド渋谷富ヶ谷,渋谷区富ヶ谷１,ＪＲ山手線/渋谷 徒歩20分,2018年3月,6960万円,1億5990万円,1LDK,3LDK,47.71,47.71
84,クラッシィハウス世田谷松陰神社前,世田谷区若林４,東急世田谷線/松陰神社前 徒歩3分,即入居可,7190万円,7190万円,2LDK+S,2LDK+S,75.51,75.51
85,THEパームス祐天寺マスタープレイス,世田谷区下馬１,東急東横線/祐天寺 徒歩11分,2018年3月,7250万円,9140万円,3LDK,4LDK,70.57,82.34
86,グローリオ文京東大前ヒルズ,文京区白山１,都営三田線/白山 徒歩5分,2018年3月,7520万円,1億1220万円,3LDK,3LDK,67.72,80.66
87,ルジェンテ浅草,台東区浅草６,東京メトロ銀座線/浅草 徒歩9分,2018年3月20日予定,3200万円台,3200万円台,1LDK,1LDK,31.15,31.15
88,パークリュクス虎ノ門　,港区西新橋３,東京メトロ銀座線/虎ノ門 徒歩10分,2019年3月,3788万円,9598万円,1R,2LDK,25.86,60.28
89,ルフォン築地 ザ・レジデンス,中央区築地6丁目,東京メトロ日比谷線/築地 徒歩5分,2018年3月,4760万円,8390万円,1LDK,3LDK,40.29,71.82
90,Brillia久が原,大田区久が原５,東急池上線/千鳥町 徒歩8分,2018年12月,4900万円台,7600万円台,2LDK,3LDK,54.54,82.13
91,プラウド府中美好町,府中市美好町１,京王線/府中 徒歩12分,2018年7月,4948万円,7048万円,3LDK,3LDK,67.19,80.01
92,Brillia 品川 Canal Side,品川区北品川１,ＪＲ山手線/品川 徒歩10分,2018年11月,5170万円,8090万円,1LDK,1LDK,42.35,70.79
93,クレヴィア東京八丁堀　新川ザ・レジデンス,中央区新川２,ＪＲ山手線/東京 徒歩16分,2019年3月,6140万円,8950万円,2LDK,2LDK,54.24,72.96
94,ブランズシティ久が原,大田区鵜の木１,東急池上線/久が原 徒歩4分,即入居可,6268万円,7378万円,3LDK,3LDK,70.65,73
95,ドレッセ用賀,世田谷区用賀３,東急田園都市線/用賀 徒歩8分,2018年3月,7890万円,7890万円,2LDK+S,2LDK+S,70.04,70.04
96,ローレルアイ目黒大橋,目黒区大橋２,東急田園都市線/池尻大橋 徒歩4分,即入居可,価格未定,価格未定,1R,2LDK,38.95,98.48
97,プラウド桜新町,世田谷区弦巻５,東急田園都市線/桜新町 徒歩10分,2018年2月、2018年1月,価格未定,価格未定,3LDK,4LDK,72.14,90.78
98,ソライエ成増,板橋区成増３,東武東上線/成増 徒歩11分,2018年3月,価格未定,価格未定,2LDK,4LDK,55.82,84.74
99,ミオカステーロ八王子II,八王子市八日町,ＪＲ中央線/八王子 徒歩13分,2018年10月,2248万円,4088万円,3LDK,3LDK,66.15,77.1
100,パークゲート メイツ 西新井,足立区西新井３,東武大師線/大師前 徒歩13分,即入居可,2498万円,3838万円,3LDK,3LDK,60.34,75.83
101,ブラントン蔵前,台東区蔵前２,都営浅草線/蔵前 徒歩1分,2018年8月,2800万円台,2800万円台,1K,1K,26.93,26.93
102,レーベン八王子GRANDSAGE,八王子市寺町,ＪＲ中央線/八王子 徒歩6分,2018年3月,2900万円台,4800万円台,3LDK,3LDK,60.91,74
103,THEパームス調布マノアーガーデン,調布市多摩川１,京王線/西調布 徒歩9分,2018年12月,3700万円台,5800万円台,2LDK+S,4LDK,64.52,83.94
104,ガーラ・レジデンス平井,江戸川区平井５,ＪＲ総武線/平井 徒歩4分,2018年9月,4330万円,5260万円,3LDK,3LDK,55.18,75.64
105,ジオ新宿若松町,新宿区若松町,都営大江戸線/若松河田 徒歩2分,2018年5月,4690万円,9830万円,1K,3LDK,35.47,75.75
106,クレストプライムタワー芝,港区芝１,ＪＲ山手線/浜松町 徒歩6分,即入居可,5498万円,1億4900万円,1LDK,3LDK,41.32,90.16
107,ジオ四谷,新宿区三栄町,東京メトロ丸ノ内線/四谷三丁目 徒歩6分,即入居可、2018年4月,5680万円,1億2480万円,1LDK,3LDK,46.51,78.74
108,ソライエ葛飾小菅,葛飾区小菅１,東武伊勢崎線/小菅 徒歩9分,2018年10月,2900万円台,4600万円台,2LDK,4LDK,58.06,79.05
109,クレヴィア住吉扇橋,江東区扇橋２,東京メトロ半蔵門線/住吉 徒歩7分,2019年3月,3100万円台,6700万円台,1LDK,3LDK,35.07,66.08
110,ジオ千代田大手町,千代田区内神田１,東京メトロ丸ノ内線/大手町 徒歩5分,2019年2月,4290万円,2億800万円,1DK,3LDK,36.04,112.61
111,プライムパークス品川シーサイド ザ・レジデンス,品川区東大井１,りんかい線/品川シーサイド 徒歩5分,2018年11月,5480万円,7210万円,2LDK,2LDK,57.61,84.62
112,ジオ深川住吉,江東区扇橋２,東京メトロ半蔵門線/住吉 徒歩5分,2018年4月,5740万円,7090万円,2LDK+S,3LDK,67.5,75.89
113,Brillia 東中野 Station Front,中野区東中野２,ＪＲ中央線/東中野 徒歩2分,2018年12月,5998万円,5998万円,2LDK,2LDK,54.24,54.24
114,パークコート乃木坂　ザ　タワー,港区南青山１,東京メトロ千代田線/乃木坂 徒歩2分,2019年4月,8000万円台,3億円台,1LDK,3LDK,37.49,100.65
115,ザ・パークハウス 五番町,千代田区五番町４,ＪＲ総武線/市ヶ谷 徒歩2分,2018年9月,1億1910万円,1億6480万円,2LDK,2LDK,63.85,79.29
116,シティインデックスときわ台,板橋区富士見町,東武東上線/中板橋 徒歩7分,即入居可,2398万円,3898万円,1LDK,1LDK,31.31,47.39
117,センチュリー新小岩,葛飾区東新小岩２,ＪＲ総武線/新小岩 徒歩15分,2018年3月,2700万円台,4700万円台,1LDK+S,4LDK,55.56,78.82
118,BrilliaTower 八王子,八王子市横山町,ＪＲ中央線/八王子 徒歩4分,2019年1月,2790万円,5220万円,1LDK,3LDK,40.31,80.82
119,グローベル ザ・高円寺プレミアム,杉並区高円寺南４,ＪＲ中央線/高円寺 徒歩5分,即入居可,2898万円,2898万円,1K,1K,25.11,25.11
120,ルネ八王子トレーシア,八王子市八日町,ＪＲ中央線/八王子 徒歩10分,2019年2月予定,2900万円台,4600万円台,3LDK,3LDK,68.11,80.34
121,ウィルローズ王子,北区王子２,ＪＲ京浜東北線/王子 徒歩7分,2018年7月,2990万円,5950万円,1LDK,3LDK,35.74,68.47
122,シティハウス八王子北野ステーションコート,八王子市打越町,京王線/北野 徒歩4分,2018年2月,3098万円,4098万円,2LDK,3LDK,55.09,70.03
123,リビオ多摩川,大田区矢口３,東急多摩川線/矢口渡 徒歩6分,2017年12月,3188万円,5878万円,1LDK,3LDK,33.75,72.49
124,サンクレイドル上野II,台東区東上野５,ＪＲ山手線/上野 徒歩5分,2018年3月,3228万円,5888万円,1DK,2LDK,32.95,53.44
125,リストレジデンス王子,北区豊島１,東京メトロ南北線/王子 徒歩5分,即入居可,3390万円,4380万円,1LDK,2LDK,39.36,47.18
126,シティテラスひばりが丘,西東京市ひばりが丘３,西武池袋線/ひばりヶ丘 徒歩18分,即入居可,3398万円,3998万円,3LDK,3LDK,67.61,70.15
127,アデニウム ザ・オアシスガーデン,葛飾区新宿３,京成本線/京成高砂 徒歩15分,即入居可,3398万円,4088万円,3LDK,3LDK,64.09,75.14
128,イニシア西新井,足立区島根４,東武伊勢崎線/西新井 徒歩9分,2018年3月,3400万円台,4900万円台,2LDK+S,2LDK+S,71.42,86.17
129,ミオカステーロ東日暮里,荒川区東日暮里２,東京メトロ日比谷線/三ノ輪 徒歩9分,2017年11月中旬,3400万円台,3400万円台,1LDK+S,1LDK+S,55.02,55.02
130,プレサンス ロジェ 熊野前,荒川区東尾久６,東京メトロ千代田線/町屋 徒歩15分,2018年1月,3400万円台,4700万円台,2LDK+S,2LDK+S,68.64,68.64
131,シティハウス東麻布,港区東麻布１,都営大江戸線/赤羽橋 徒歩4分,即入居可,3490万円,7990万円,1K,2LDK,25.38,55.27
132,リビオ中野坂上パークフロント,中野区中央２,東京メトロ丸ノ内線/中野坂上 徒歩8分,即入居可,3498万円,3498万円,1LDK,1LDK,36.37,36.37
133,ソルフィエスタ亀戸ルシーア,墨田区立花３,ＪＲ総武線/亀戸 徒歩13分,2018年6月,3499万円,4299万円,2LDK+S,3LDK,60.25,61.47
134,アーデル曳舟マークイースト,墨田区八広３,京成押上線/京成曳舟 徒歩11分,即入居可,3580万円,3770万円,2LDK+S,3LDK,65.01,66.63
135,サンクレイドル平井,江戸川区平井６,ＪＲ総武線/平井 徒歩4分,2018年10月,3590万円,5700万円,2LDK,2LDK,55.6,72
136,ベルフール篠崎アラーナ,江戸川区篠崎町２,都営新宿線/篠崎 徒歩6分,2018年3月,3600万円台,5300万円台,3LDK,3LDK,60.19,74.34
137,ザ府中ハウス,府中市八幡町２,京王線/府中 徒歩7分,2017年11月末予定,3690万円,3690万円,2LDK+S,2LDK+S,65.88,65.88
138,シティハウス目黒ザ・ツイン,目黒区下目黒２,ＪＲ山手線/目黒 徒歩9分,2018年4月,3698万円,7598万円,1R,2LDK,25.73,58.1
139,フェアシス八王子新町,八王子市新町,京王線/京王八王子 徒歩5分,即入居可,3698万円,3698万円,3LDK,3LDK,75.64,75.64
140,ベルジュール東府中IIIステーションサイド,府中市清水が丘１,京王線/東府中 徒歩2分,2017年12月,3798万円,4968万円,3LDK,4LDK,62.37,71.61
141,グローベル ザ・国分寺クリスタ,国分寺市本町３,ＪＲ中央線/国分寺 徒歩5分,即入居可,3798万円,4628万円,1LDK,1LDK,35.47,35.47
142,シティテラス府中緑町,府中市緑町３,京王線/東府中 徒歩4分,2018年4月,3798万円,5498万円,2LDK+S,4LDK,70.2,78.36
143,リビオ文京茗荷谷,文京区千石２,都営三田線/千石 徒歩10分,即入居可,3890万円,7710万円,1LDK,1LDK,39.47,39.47
144,イニシア日野,日野市新町１,ＪＲ中央線/日野 徒歩2分,2018年3月,3900万円台,4800万円台,2LDK+S,2LDK+S,72.05,75.46
145,アーデル立石ワンズプレイス,葛飾区立石３,京成押上線/京成立石 徒歩6分,2017年12月,3950万円,3950万円,2LDK+S,2LDK+S,64.58,64.58
146,オープンレジデンシア桜新町テラス,世田谷区弦巻４,東急田園都市線/桜新町 徒歩7分,2018年7月,3978万円,7148万円,1LDK,3LDK,36.84,62.37
147,品川イーストシティタワー,品川区東品川５,東京モノレール/天王洲アイル 徒歩5分,2019年4月,3980万円,7980万円,1LDK,3LDK,41.65,70.18
148,プレシス葛西ルジュール,江戸川区中葛西５,東京メトロ東西線/葛西 徒歩7分,2017年12月,3990万円,5640万円,2LDK+S,2LDK+S,64.64,74.34
149,グローベルタワー梅島,足立区梅島３,東武伊勢崎線/梅島 徒歩2分,即入居可,3998万円,4968万円,3LDK,3LDK,58.17,58.17
150,サンクレイドル目黒林試の森,目黒区下目黒５,東急目黒線/武蔵小山 徒歩10分,即入居可,3999万円,5998万円,1LDK,2LDK,40.48,53.12
151,プレミアムレジデンス日暮里雅苑,荒川区東日暮里６,ＪＲ山手線/日暮里 徒歩5分,2018年5月,4188万円,5708万円,1LDK,1LDK,40.02,55.01
152,オープンレジデンシア中野坂上テラス,中野区東中野１,東京メトロ丸ノ内線/中野坂上 徒歩7分,2018年9月末予定,4298万円,6188万円,1LDK,3LDK,37.15,60.8
153,ヴィークコート豊田,日野市東豊田３,ＪＲ中央線/豊田 徒歩6分,即入居可,4300万円台,5300万円台,3LDK,4LDK,71,80.81
154,プレシス東陽町,江東区千石３,東京メトロ東西線/東陽町 徒歩12分,2017年11月下旬,4390万円,5160万円,2LDK,3LDK,47.93,65.42
155,リーフィアレジデンス狛江 和泉本町,狛江市和泉本町１,小田急線/狛江 徒歩9分,即入居可,4398万円,5498万円,2LDK,3LDK,62.1,75.4
156,オープンレジデンシア中野 平和の森公園,中野区野方２,ＪＲ中央線/中野 徒歩17分,2018年8月,4400万円台,5300万円台,2LDK,3LDK,57.84,71.19
157,グローリオ コンフォート文京本駒込,文京区本駒込５,ＪＲ山手線/駒込 徒歩6分,2018年4月,4420万円,6310万円,1LDK,1LDK,36.29,53.29
